Date : 2019-09-22 17:53:04
Directory : d:\CodeHome\LUA\Galactiforge\code
Total : 131 files,  7316 codes, 884 comments, 1654 blanks, all 9854 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| lib\lovetoys\src\Engine.lua                                         | Lua        |        262 |         38 |         37 |        337 |
| lib\lovetoys\src\Entity.lua                                         | Lua        |         70 |          4 |         14 |         88 |
| lib\lovetoys\src\EventManager.lua                                   | Lua        |         50 |          5 |         12 |         67 |
| lib\lovetoys\src\System.lua                                         | Lua        |         81 |          8 |         15 |        104 |
| lib\lovetoys\src\events\ComponentAdded.lua                          | Lua        |         14 |          1 |          5 |         20 |
| lib\lovetoys\src\events\ComponentRemoved.lua                        | Lua        |         14 |          1 |          5 |         20 |
| lib\lovetoys\src\namespace.lua                                      | Lua        |          1 |          0 |          1 |          2 |
| lib\lovetoys\src\util.lua                                           | Lua        |          6 |          0 |          3 |          9 |
| lib\matrix.lua                                                      | Lua        |        808 |        307 |        137 |      1,252 |
| lib\middleclass.lua                                                 | Lua        |        137 |          0 |         33 |        170 |
| lib\stateful.lua                                                    | Lua        |        184 |          1 |         38 |        223 |
| src\components\controllers\AIController.lua                         | Lua        |          6 |          0 |          2 |          8 |
| src\components\controllers\PlayerController.lua                     | Lua        |          3 |          0 |          1 |          4 |
| src\components\graphic\FieryDeath.lua                               | Lua        |          7 |          0 |          1 |          8 |
| src\components\graphic\Particles.lua                                | Lua        |         16 |          0 |          1 |         17 |
| src\components\graphic\Sprite.lua                                   | Lua        |         15 |          0 |          1 |         16 |
| src\components\graphic\TileSet.lua                                  | Lua        |         19 |          0 |          1 |         20 |
| src\components\graphic\TileSetGrid.lua                              | Lua        |         25 |          0 |          3 |         28 |
| src\components\objects\GridMaster.lua                               | Lua        |         28 |          0 |          2 |         30 |
| src\components\objects\ammunition\Bullet.lua                        | Lua        |          7 |          0 |          1 |          8 |
| src\components\objects\grids\Factory.lua                            | Lua        |          3 |          0 |          0 |          3 |
| src\components\objects\grids\GridConsumer.lua                       | Lua        |          5 |          0 |          0 |          5 |
| src\components\objects\grids\GridInventory.lua                      | Lua        |         16 |          0 |          2 |         18 |
| src\components\objects\grids\GridItem.lua                           | Lua        |         26 |          0 |          9 |         35 |
| src\components\objects\grids\GridProcessor.lua                      | Lua        |          5 |          0 |          0 |          5 |
| src\components\objects\grids\GridTransfer.lua                       | Lua        |          7 |          0 |          0 |          7 |
| src\components\objects\grids\Thruster.lua                           | Lua        |         25 |          2 |          6 |         33 |
| src\components\objects\grids\Weapon.lua                             | Lua        |          8 |          0 |          2 |         10 |
| src\components\physics\CollisionPhysics.lua                         | Lua        |          9 |          0 |          1 |         10 |
| src\components\physics\DynamicPhysics.lua                           | Lua        |         13 |          0 |          5 |         18 |
| src\components\physics\GridPhysics.lua                              | Lua        |          3 |          0 |          1 |          4 |
| src\components\physics\PositionPhysics.lua                          | Lua        |          9 |          0 |          2 |         11 |
| src\components\properties\Faction.lua                               | Lua        |          4 |          0 |          1 |          5 |
| src\components\properties\Health.lua                                | Lua        |          5 |          0 |          1 |          6 |
| src\configs\armor.json                                              | JSON       |         47 |          0 |          0 |         47 |
| src\configs\factory.json                                            | JSON       |        253 |          0 |          0 |        253 |
| src\configs\ships.json                                              | JSON       |        126 |          0 |          5 |        131 |
| src\configs\technology.json                                         | JSON       |         11 |          0 |          0 |         11 |
| src\configs\thruster.json                                           | JSON       |         72 |          0 |          0 |         72 |
| src\configs\transfer.json                                           | JSON       |         16 |          0 |          0 |         16 |
| src\configs\weapon.json                                             | JSON       |         30 |          0 |          0 |         30 |
| src\events\CollisionStart.lua                                       | Lua        |          6 |          0 |          1 |          7 |
| src\events\DamageOccured.lua                                        | Lua        |          4 |          0 |          1 |          5 |
| src\events\GridSelected.lua                                         | Lua        |          7 |          0 |          1 |          8 |
| src\events\KeyPressed.lua                                           | Lua        |          5 |          0 |          1 |          6 |
| src\events\MousePressed.lua                                         | Lua        |          6 |          0 |          1 |          7 |
| src\helper_functions.lua                                            | Lua        |         46 |          3 |          6 |         55 |
| src\systems\event\BulletSystem.lua                                  | Lua        |         23 |          0 |          4 |         27 |
| src\systems\event\DamageSystem.lua                                  | Lua        |         21 |          0 |          6 |         27 |
| src\systems\event\FieryDeathSystem.lua                              | Lua        |         62 |          1 |          9 |         72 |
| src\systems\event\MainKeySystem.lua                                 | Lua        |         43 |          0 |         12 |         55 |
| src\systems\event\MainMouseSystem.lua                               | Lua        |         74 |          4 |         22 |        100 |
| src\systems\graphic\RenderGridMasterSystem.lua                      | Lua        |         31 |          0 |          8 |         39 |
| src\systems\graphic\RenderHUDSystem.lua                             | Lua        |         29 |          0 |          9 |         38 |
| src\systems\graphic\RenderParticleSystem.lua                        | Lua        |         18 |          0 |          3 |         21 |
| src\systems\graphic\RenderSpriteSystem.lua                          | Lua        |         12 |          0 |          4 |         16 |
| src\systems\graphic\TileSetGridAnimatorSystem.lua                   | Lua        |         33 |          0 |          5 |         38 |
| src\systems\graphic\UpdateParticleSystem.lua                        | Lua        |         22 |          0 |          6 |         28 |
| src\systems\grids\GridConsumerSystem.lua                            | Lua        |         23 |          0 |          6 |         29 |
| src\systems\grids\GridItemSystem.lua                                | Lua        |         24 |          1 |         10 |         35 |
| src\systems\grids\GridMasterSystem.lua                              | Lua        |        103 |          2 |         19 |        124 |
| src\systems\grids\GridPhysicsSystem.lua                             | Lua        |         25 |          0 |          9 |         34 |
| src\systems\grids\GridProcessorSystem.lua                           | Lua        |         29 |          0 |          7 |         36 |
| src\systems\grids\GridTransferSystem.lua                            | Lua        |         50 |          2 |         13 |         65 |
| src\systems\grids\ThrusterSystem.lua                                | Lua        |         42 |          2 |         13 |         57 |
| src\systems\grids\WeaponSystem.lua                                  | Lua        |         70 |          2 |         19 |         91 |
| src\systems\grids\grid_functions.lua                                | Lua        |         29 |          0 |          9 |         38 |
| src\systems\physics\CleanupSystem.lua                               | Lua        |         15 |          2 |          3 |         20 |
| src\systems\physics\SetupPhysicsSystem.lua                          | Lua        |         38 |          4 |          6 |         48 |
| Total                                                               |            |      7,316 |        884 |      1,654 |      9,854 |
+---------------------------------------------------------------------+------------+------------+------------+------------+------------+
